--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
050.512  000.002  000.002: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
050.535  000.003  000.003: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
050.562  000.009  000.009: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
050.586  000.002  000.002: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
050.602  000.002  000.002: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
050.616  000.002  000.002: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
050.631  000.002  000.002: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
050.650  000.002  000.002: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
050.665  000.002  000.002: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
050.675  000.007  000.007: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
052.702  000.007  000.007: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
052.727  000.003  000.003: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
052.746  000.003  000.003: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
052.763  000.002  000.002: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
052.781  000.002  000.002: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
052.797  000.002  000.002: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
052.813  000.002  000.002: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
052.831  000.002  000.002: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
052.862  000.002  000.002: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
052.880  000.002  000.002: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
052.896  000.002  000.002: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
052.912  000.002  000.002: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
052.929  000.002  000.002: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
052.944  000.002  000.002: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
052.976  000.002  000.002: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
052.993  000.002  000.002: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
053.009  000.002  000.002: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
053.023  000.002  000.002: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
053.039  000.002  000.002: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
053.054  000.002  000.002: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
053.068  000.002  000.002: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
053.086  000.002  000.002: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
053.101  000.002  000.002: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
053.117  000.002  000.002: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
053.132  000.002  000.002: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
053.148  000.002  000.002: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
053.163  000.002  000.002: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
053.178  000.002  000.002: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
056.923  000.688  000.688: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
056.943  000.006  000.006: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
057.488  000.007  000.007: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
057.511  000.003  000.003: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
057.528  000.002  000.002: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
057.543  000.002  000.002: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
057.563  000.002  000.002: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
057.579  000.002  000.002: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
057.603  000.002  000.002: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
057.622  000.002  000.002: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
057.644  000.002  000.002: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
057.665  000.002  000.002: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
057.682  000.002  000.002: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
057.699  000.002  000.002: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
057.750  000.002  000.002: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
057.775  000.002  000.002: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
057.797  000.002  000.002: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
057.813  000.002  000.002: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
057.830  000.002  000.002: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
057.845  000.002  000.002: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
057.862  000.002  000.002: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
057.879  000.002  000.002: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
057.895  000.002  000.002: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
058.405  000.127  000.127: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
058.416  000.003  000.003: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
058.547  000.078  000.078: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
058.554  000.004  000.004: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
059.550  000.196  000.196: require('lualine.utils.mode')
060.757  000.099  000.099: require('lazy.status')
061.054  000.011  000.011: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
061.204  000.119  000.119: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
061.225  000.015  000.015: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
061.233  000.004  000.004: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
061.238  000.002  000.002: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
063.047  000.159  000.159: require('nvim-treesitter.utils')
064.599  000.472  000.472: require('vim.treesitter.language')
064.690  000.086  000.086: require('vim.func')
064.773  000.078  000.078: require('vim.func._memoize')
064.792  001.034  000.398: require('vim.treesitter.query')
064.905  000.111  000.111: require('vim.treesitter._range')
064.915  001.353  000.208: require('vim.treesitter.languagetree')
064.920  001.547  000.194: require('vim.treesitter')
065.511  002.458  000.911: require('nvim-treesitter.parsers')
065.888  000.082  000.082: require('nvim-treesitter.compat')
066.051  000.083  000.083: require('nvim-treesitter.ts_utils')
066.056  000.165  000.081: require('nvim-treesitter.tsrange')
066.131  000.073  000.073: require('nvim-treesitter.caching')
066.138  000.421  000.103: require('nvim-treesitter.query')
066.146  000.528  000.106: require('nvim-treesitter.configs')
066.149  000.635  000.107: require('nvim-treesitter.info')
066.235  000.085  000.085: require('nvim-treesitter.shell_command_selectors')
066.248  003.533  000.196: require('nvim-treesitter.install')
066.322  000.071  000.071: require('nvim-treesitter.statusline')
066.402  000.077  000.077: require('nvim-treesitter.query_predicates')
066.405  004.345  000.663: require('nvim-treesitter')
066.506  000.095  000.095: require('vim.iter')
066.807  004.845  000.405: sourcing C:/Users/rmcfa/AppData/Local/nvim-data/lazy/nvim-treesitter/plugin/nvim-treesitter.lua
066.825  004.951  000.105: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
066.834  000.002  000.002: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
066.865  000.002  000.002: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
072.844  000.105  000.105: require('nvim-treesitter.highlight')
072.928  000.004  000.004: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
072.946  000.001  000.001: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
073.407  000.160  000.160: require('render-markdown.settings')
073.415  000.259  000.099: require('render-markdown')
073.504  000.085  000.085: require('render-markdown.lib.presets')
073.648  000.101  000.101: require('render-markdown.lib.compat')
073.819  000.075  000.075: require('render-markdown.lib.list')
073.826  000.173  000.098: require('render-markdown.lib.env')
074.146  000.069  000.069: require('render-markdown.lib.interval')
074.220  000.070  000.070: require('render-markdown.lib.str')
074.225  000.219  000.080: require('render-markdown.lib.line')
074.297  000.069  000.069: require('render-markdown.lib.resolved')
074.368  000.067  000.067: require('render-markdown.lib.iter')
074.373  000.442  000.087: require('render-markdown.lib.config')
074.376  000.528  000.086: require('render-markdown.state')
074.472  000.092  000.092: require('render-markdown.core.ts')
074.671  000.108  000.108: require('render-markdown.request.context')
074.759  000.083  000.083: require('render-markdown.core.log')
074.767  000.290  000.099: require('render-markdown.core.ui')
074.878  000.103  000.103: require('render-markdown.core.colors')
075.114  000.074  000.074: require('render-markdown.api')
075.118  000.164  000.089: require('render-markdown.core.command')
075.234  000.079  000.079: require('render-markdown.core.manager')
075.286  002.208  000.336: sourcing C:/Users/rmcfa/AppData/Local/nvim-data/lazy/render-markdown.nvim/plugin/render-markdown.lua
075.300  002.311  000.104: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
075.309  000.003  000.003: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
075.334  000.001  000.001: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
076.107  000.068  000.068: sourcing C:/Users/rmcfa/AppData/Local/nvim-data/lazy/transparent.nvim/plugin/transparent.vim
076.116  000.164  000.097: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
076.123  000.001  000.001: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
076.142  000.001  000.001: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
076.871  000.086  000.086: require('transparent.config')
076.955  000.080  000.080: require('transparent.cache')
077.188  001.042  000.877: require('transparent')
077.797  000.155  000.155: require('vim.lsp.log')
078.146  000.344  000.344: require('vim.lsp.protocol')
078.354  000.202  000.202: require('vim.lsp.util')
078.552  000.086  000.086: require('vim.lsp.sync')
078.557  000.199  000.113: require('vim.lsp._changetracking')
078.742  000.085  000.085: require('vim.lsp._transport')
078.752  000.192  000.107: require('vim.lsp.rpc')
078.797  001.301  000.210: require('vim.lsp')
078.838  001.438  000.137: sourcing C:/Users/rmcfa/AppData/Local/nvim-data/lazy/roslyn.nvim/plugin/roslyn.lua
078.852  001.542  000.103: sourcing nvim_exec2() called at C:\Users\rmcfa\AppData\Local\nvim\init.lua:0
078.965  000.101  000.101: require('custom.roslyn-refresh')
